solarSystemName,x,y,z,security
Tanoo,-8.85107925999806e16,4.23694439668789e16,-4.45135253464797e16,0.858324068848468
Lashesih,-1.03300968263126e17,4.17075035682699e16,-2.98563041297951e16,0.751689146697987
Akpivem,-9.11741411330753e16,4.39382274862472e16,-5.64828243833399e16,0.846292352426726
Jark,-9.36759263521789e16,5.06042449623289e16,-2.84035291069217e16,0.817000531228727
Sasta,-9.47821579619976e16,4.31262473529033e16,-3.1896707679918e16,0.814336728101234
Zaid,-8.47921511388562e16,5.23134557981793e16,-5.70739345298823e16,0.864229153396284
Yuzier,-9.03675090131102e16,5.34477009309433e16,-4.90403990377699e16,0.906555510469601
Nirbhi,-9.15761035363885e16,5.73328027393277e16,-5.52550579645263e16,0.882115714763018
Sooma,-8.40947311402152e16,6.92059288041607e16,-7.52260521388288e16,0.57781948156321
Chidah,-8.05888565201208e16,6.16455572873768e16,-7.97709316684619e16,0.539052013003089
Shenela,-6.95754633348552e16,5.71223254405147e16,-8.06598352028446e16,0.456959354735403
Asabona,-8.87870782997732e16,5.75303545139837e16,-9.63090751039115e16,0.322884272450518
Onsooh,-8.1778742628362e16,6.02526936619569e16,-8.66354266261767e16,0.442816632886763
Shamahi,-7.77507097384211e16,7.17225334351103e16,-8.79220108900039e16,0.355242291075942
Sendaya,-7.50358854752398e16,4.7720998612e16,-9.51724082940452e16,0.293932972095294
Nazhgete,-8.36311552966969e16,6.37237853971603e16,-8.98137899485139e16,0.391497055683935
Futzchag,-6.40985839685295e16,4.12719734655652e16,-1.01139230377519e17,0.172228559767585
Kazna,-7.01424246912462e16,3.84885821531904e16,-9.67204101069244e16,0.231262625040188
Podion,-5.87098578016163e16,2.60445093863922e16,-1.01528995159068e17,0.109704972598651
Lilmad,-7.28553803199239e16,5.29099261144358e16,-1.0816527393548e17,0.1604491933025
Kuharah,-7.43798108537478e16,3.25389695310869e16,-1.00531188490154e17,-1
Jayneleb,-6.08394279541966e16,3.30317909502893e16,-1.05458726104477e17,0.113839956995903
Fovihi,-8.15533441122512e16,5.04512574116074e16,-5.11546338809836e16,0.869394349221088
Kiereend,-7.74790809111428e16,5.11341797154669e16,-4.78852334824982e16,0.840834548322929
Rashy,-7.41810587708783e16,5.09987901588997e16,-4.42919303109199e16,0.803265994106465
Ordize,-6.6874602332344e16,4.73055394392106e16,-4.16044513798551e16,0.695564173138387
Psasa,-7.21838857853403e16,4.29844098654126e16,-4.50812039936184e16,0.74991328878682
Eshtah,-7.1223584228662e16,5.07527859411889e16,-4.6482687207261e16,0.768432631428651
Lachailes,-6.14187009632582e16,3.95082267566463e16,-3.63463751329509e16,0.573051226792107
Kasrasi,-5.9932279484658e16,4.32334111971293e16,-4.15647245053966e16,0.573075677011312
Mohas,-8.09313683913977e16,2.66124516712007e16,-2.61741709307935e16,0.681783438209048
Hasiari,-8.78957102276095e16,3.90624663821354e16,-2.68005754625334e16,0.798187617055237
Radima,-8.66697094477018e16,3.02538914921902e16,-2.31092186396052e16,0.75391995235005
Alkez,-8.06056448031638e16,3.65895803365393e16,-2.24090232773571e16,0.782122909851242
Nimambal,-7.89729291083951e16,2.20216957337664e16,-3.04376977447003e16,0.594050570256138
Yishinoon,-6.9082798590932e16,1.51946413719526e16,-2.87808774009534e16,0.42471818203938
Uplingur,-6.6223420001743e16,1.63260506637112e16,-2.57304070269525e16,0.422069314931671
Dooz,-6.21272775923776e16,4.8759951230412e16,-7.70618751587521e16,0.423728855186249
Bayuka,-5.97793567658739e16,3.91231189512903e16,-7.32242737785755e16,0.400722036484829
Uzistoon,-5.78930842937134e16,4.58330218799978e16,-7.48380235690044e16,0.390645600822198
Bairshir,-5.95005366386288e16,3.06020002150195e16,-7.04504992476015e16,0.36408774701497
Moh,-6.26740591678738e16,3.37682902063152e16,-6.42457573257148e16,0.472835003937131
Sari,-6.27794236677204e16,5.20394343065736e16,-8.18461458923476e16,0.379343121688665
Faspera,-8.72757870618377e16,2.44225023492625e16,-1.07306739389601e17,0.12825847580852
Jaymass,-8.28879537533331e16,3.22770609137277e16,-9.96303963204919e16,0.216311339767522
Mifrata,-7.8639929616778e16,4.26404601128166e16,-9.45495718243563e16,0.303802990131855
Majamar,-7.33814671362281e16,3.39740769857685e16,-8.41248352828522e16,0.369186257658592
Ihal,-8.48113598184454e16,4.71687564307616e16,-8.40600804772256e16,0.492701244651463
Camal,-8.93930676320562e16,4.03234434840503e16,-1.03505841227187e17,0.212976884921542
Fera,-7.42992241526389e16,3.93827458202371e16,-7.89993327663872e16,0.477246353538886
Juddi,-8.16960298037552e16,4.33124749265828e16,-7.19581782824363e16,0.649136638606088
Maspah,-8.42981695227803e16,4.0933231824812e16,-5.76655044778695e16,0.799900976516899
Ibaria,-8.50008275831593e16,4.31331013614651e16,-6.68611687634074e16,0.730978722487679
Shala,-8.50396054269296e16,3.32538503855706e16,-5.78339243559806e16,0.715563758408769
Zemalu,-7.83530059426233e16,3.77083035998703e16,-5.8441885318365e16,0.725158525323317
Khankenirdia,-7.64479845926271e16,4.23233960707872e16,-7.14953454787194e16,0.613595835446554
Nikh,-8.57144326050021e16,6.64851805809432e16,-6.10247758950023e16,0.774198460516647
Amphar,-8.15062604088121e16,7.19420585694519e16,-6.00772641849292e16,0.702186994980565
Salashayama,-7.84621444958397e16,7.57217449393156e16,-5.35018742007935e16,0.665586231399705
Janus,-6.70197231344477e16,7.51455064775403e16,-5.67517054350979e16,0.545570545274901
Agha,-8.55291288051228e16,6.8585914092815e16,-6.46907203926126e16,0.718782620789887
Iosantin,-6.04263493825866e16,7.52802170782753e16,-5.93838021602359e16,0.450343350098048
Orva,-5.88313337562485e16,6.50717915302942e16,-5.85355414253823e16,0.509949588827775
Zet,-6.18991129088736e16,6.33902506916811e16,-5.77789872380622e16,0.569697661152562
Akhrad,-5.54678100921198e16,7.5041947502068e16,-6.5667847016388e16,0.358476524759994
Pirohdim,-6.60537053217881e16,6.00166941527125e16,-6.08303349138e16,0.628696090011916
Sharir,-6.09415480924069e16,7.79956778516337e16,-6.56721581177466e16,0.396848687035075
Usroh,-8.35118643202341e16,7.86319578798319e16,-6.37397620084526e16,0.597457508093388
Thiarer,-6.00382546012184e16,5.69603196351128e16,-6.15744045628718e16,0.542032780841138
Gomati,-1.02466093278155e17,6.17391229871266e16,-9.28053413210599e16,0.387421323795231
Jangar,-1.03711104103329e17,7.16360023896705e16,-8.16962063677692e16,0.527328625423247
Nakah,-1.15776531141552e17,8.17769673427023e16,-9.82266692740087e16,0.363864338436054
Irshah,-9.53234439861444e16,6.08972023736333e16,-8.94544015123411e16,0.429506645047493
Hasateem,-1.09124883950156e17,6.86474735240968e16,-9.18229839921105e16,0.426496411960909
Assah,-1.15655018403e17,7.41121459866e16,-1.03188394071e17,0.297802198708
Tidacha,-9.66661314253909e16,6.5065656728686e16,-5.62087714810792e16,0.820099044824579
Odlib,-1.00580464528326e17,6.17117475199744e16,-5.59837849476677e16,0.824516600898814
Jofan,-1.07343994369715e17,6.01532485766348e16,-5.55595571021433e16,0.779548203790202
Milu,-9.60660937674658e16,6.83047065305403e16,-6.00428195134436e16,0.769625317613343
Yadi,-1.07977718946196e17,6.12863666360399e16,-6.01416070084735e16,0.750268475690111
Buftiar,-1.12289887271664e17,6.59240249707374e16,-5.78193725489056e16,0.70874129661025
Jarizza,-9.9552082879405e16,4.83862957217659e16,-6.52665320138424e16,0.765430980328268
Ejahi,-1.06306688887847e17,5.97315333767649e16,-6.55130666984089e16,0.728910235177822
Asghatil,-9.55558314894629e16,4.33534138656864e16,-6.14057455879477e16,0.794778167987924
Bar,-9.84431071728107e16,5.41542236889396e16,-7.42721363095167e16,0.665838129516353
Sucha,-1.0627609183753e17,5.2625499381688e16,-7.20854219908485e16,0.658264787119109
Gelhan,-1.01293245585079e17,6.26168460097379e16,-6.98048566086591e16,0.701676427641211
